traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
10130,2024-08-30 06:11:00,London,Camden,211,46.9,0,High,Wet,583
11317,2024-08-22 01:20:00,London,Hammersmith,182,46.1,0,High,Snowy,6210
10210,2024-01-26 09:03:00,London,Camden,208,48.9,0,High,Wet,6436
9860,2024-08-24 21:05:00,London,Hackney,218,46.1,0,High,Damaged,5049
10407,2024-02-23 14:00:00,London,Kensington,218,40.0,0,High,Dry,8097
10594,2024-11-02 06:18:00,London,Chelsea,211,59.8,1,Medium,Damaged,8934
13804,2024-02-12 13:00:00,London,Kensington,197,51.4,0,Low,Dry,5081
10058,2024-08-22 08:29:00,London,Kensington,198,68.0,0,Low,Damaged,8545
9554,2024-11-11 02:24:00,London,Southwark,192,48.0,0,High,Snowy,9750
12352,2024-04-19 20:15:00,London,Hackney,197,39.4,0,Medium,Dry,9273
12028,2024-06-19 17:41:00,London,Hammersmith,208,48.5,0,High,Snowy,7537
13130,2024-02-10 00:10:00,London,Unknown,225,42.1,0,Low,Dry,8722
9799,2024-09-18 22:00:00,London,Chelsea,185,41.4,0,Low,Damaged,8907
11844,2024-12-31 15:51:00,London,Greenwich,189,31.1,0,High,Wet,8573
9486,2024-06-19 08:00:00,London,Hammersmith,201,51.6,0,High,Damaged,9025
13909,2024-03-28 19:00:00,London,Hackney,178,48.6,0,Medium,Damaged,3828
10294,2024-01-03 19:59:00,London,Camden,201,35.4,0,High,Dry,191
12635,2024-04-29 10:00:00,London,Greenwich,190,20.5,0,Low,Wet,2539
13733,2024-03-18 13:02:00,London,Southwark,196,48.5,0,Medium,Snowy,4694
13214,2024-07-02 03:45:00,London,Greenwich,203,38.0,0,High,Damaged,8588
9066,2024-08-03 08:00:00,London,Chelsea,194,19.8,1,Medium,Wet,6874
9765,2024-08-31 12:49:00,London,Islington,168,53.0,1,Medium,Dry,7460
9466,2024-05-13 09:18:00,London,Camden,189,57.1,0,High,Damaged,1564
9839,2024-01-15 21:00:00,London,Chelsea,210,49.7,0,Low,Wet,2380
12865,2024-02-12 02:30:00,London,Southwark,189,57.4,1,High,Snowy,7954
9034,2024-03-07 11:17:00,London,Chelsea,200,23.5,0,Low,Dry,7101
12694,2024-08-11 08:03:00,London,Camden,195,41.8,1,High,Wet,1442
11471,2024-10-22 02:20:00,London,Islington,211,41.6,0,Medium,Wet,6622
12575,2024-05-31 23:00:00,London,Camden,200,37.3,0,High,Snowy,2243
9764,2024-02-07 18:55:00,London,Hackney,200,46.7,0,High,Wet,4844
13024,2024-06-09 02:33:00,London,Camden,185,50.0,1,Medium,Dry,4836
10731,2024-11-16 02:00:00,London,Hammersmith,190,64.7,0,Medium,Damaged,514
9280,2024-03-30 12:00:00,London,Hackney,210,51.4,0,Low,Dry,5704
10913,2024-10-09 03:47:00,London,Greenwich,213,43.7,0,Low,Damaged,8067
12293,2024-11-13 18:00:00,London,Hackney,225,61.0,0,High,Snowy,9661
11611,2024-07-02 06:16:00,London,Hackney,197,31.6,0,Medium,Damaged,1045
13369,2024-08-10 02:24:00,London,Unknown,203,45.0,0,Low,Wet,5552
9249,2024-05-13 03:49:00,London,Southwark,200,57.0,0,High,Snowy,8537
9024,2024-02-08 17:06:00,London,Hammersmith,194,49.3,1,High,Wet,6757
13726,2024-09-13 15:31:00,London,Hackney,221,46.4,0,Low,Wet,8191
12248,2024-03-21 17:56:00,London,Islington,189,46.6,1,Low,Wet,5836
10807,2024-08-22 01:53:00,London,Kensington,227,35.3,0,Medium,Wet,4787
10159,2024-12-04 12:31:00,London,Southwark,204,44.6,0,Low,Wet,6058
11270,2024-01-07 08:00:00,London,Hammersmith,188,46.4,1,Low,Wet,5898
