traffic_id,date_time,city,vehicle_count,avg_speed_kmh,congestion_level,weather_id,temperature_c,rain_mm,weather_condition,year,month,day,hour,day_of_week,is_weekend,is_rush_hour
1,2024-01-01 00:37:00,London,1903,27.375669206083565,Medium,2,-3.5703984068402894,3.695803974207948,Cloudy,2024,1,1,0,Monday,False,0
2,2024-01-01 01:21:00,London,1087,86.17890170751929,Medium,2,-3.5703984068402894,3.695803974207948,Cloudy,2024,1,1,1,Monday,False,0
3,2024-01-01 02:20:00,London,4872,25.616432983760212,Medium,3,4.254071473210189,1.4254067771113463,Cloudy,2024,1,1,2,Monday,False,0
4,2024-01-01 03:48:00,London,826,12.72709749352975,Low,5,27.48605637296157,0.2804410646067547,Clear,2024,1,1,3,Monday,False,0
5,2024-01-01 04:51:00,London,288,15.31060873439043,Low,6,6.2941542570887155,0.09145193011224624,Rain,2024,1,1,4,Monday,False,0
6,2024-01-01 05:56:00,London,4615,94.76453330512713,Medium,7,32.170390641128215,0.28345811660852444,Rain,2024,1,1,5,Monday,False,0
7,2024-01-01 06:05:00,London,3544,55.78482915618674,High,7,32.170390641128215,0.28345811660852444,Rain,2024,1,1,6,Monday,False,0
8,2024-01-01 07:35:00,London,172,41.913717405909495,Low,9,27.009917174710047,0.8045079814441084,Cloudy,2024,1,1,7,Monday,False,1
9,2024-01-01 08:55:00,London,4342,82.2247142201974,High,10,17.673620870755393,0.8011148303991759,Clear,2024,1,1,8,Monday,False,1
10,2024-01-01 09:02:00,London,1751,36.46359538603428,High,10,17.673620870755393,0.8011148303991759,Clear,2024,1,1,9,Monday,False,1
11,2024-01-01 10:00:00,London,585,57.07626998236293,High,11,29.66403094108528,2.3471537316885724,Cloudy,2024,1,1,10,Monday,False,0
12,2024-01-01 11:58:00,London,1626,45.85536675772001,High,13,4.105172995066052,0.1463302666397762,Clear,2024,1,1,11,Monday,False,0
13,2024-01-01 12:04:00,London,1986,87.8463903406322,Low,13,4.105172995066052,0.1463302666397762,Clear,2024,1,1,12,Monday,False,0
14,2024-01-01 13:36:00,London,4035,31.99224945117839,Medium,15,32.839959311105034,1.682493973570588,Clear,2024,1,1,13,Monday,False,0
15,2024-01-01 14:06:00,London,3337,97.53407254341602,High,15,32.839959311105034,1.682493973570588,Clear,2024,1,1,14,Monday,False,0
16,2024-01-01 15:41:00,London,922,24.756006164598126,Medium,17,34.65420858709582,2.061344640824777,Clear,2024,1,1,15,Monday,False,0
17,2024-01-01 16:27:00,London,3215,75.33940960756547,High,17,34.65420858709582,2.061344640824777,Clear,2024,1,1,16,Monday,False,1
18,2024-01-01 17:29:00,London,3981,14.053026554271815,Medium,18,20.507456186181518,0.17825653496869565,Rain,2024,1,1,17,Monday,False,1
19,2024-01-01 18:37:00,London,1093,33.17937424639612,Low,20,4.801789216959055,0.441733314172841,Rain,2024,1,1,18,Monday,False,1
20,2024-01-01 19:58:00,London,901,48.49860678878227,Medium,21,9.97115174889112,1.918193001824179,Cloudy,2024,1,1,19,Monday,False,1
21,2024-01-01 20:31:00,London,2162,36.142876870197654,High,22,16.738361258974784,1.644794502452056,Cloudy,2024,1,1,20,Monday,False,0
22,2024-01-01 21:30:00,London,473,37.64399519606573,Medium,23,9.818639923985867,0.2758786343976261,Cloudy,2024,1,1,21,Monday,False,0
23,2024-01-01 22:55:00,London,3288,53.45203842090795,High,24,-2.2878548846850277,0.19509305880814362,Cloudy,2024,1,1,22,Monday,False,0
24,2024-01-01 23:12:00,London,4350,29.41501652212633,Low,24,-2.2878548846850277,0.19509305880814362,Cloudy,2024,1,1,23,Monday,False,0
25,2024-01-02 00:35:00,London,1575,74.01639843387724,Medium,26,26.664513221428187,0.30045704293909836,Clear,2024,1,2,0,Tuesday,False,0
26,2024-01-02 01:30:00,London,4859,92.11598781097335,Medium,27,0.2922742690008162,0.7388453576596258,Cloudy,2024,1,2,1,Tuesday,False,0
27,2024-01-02 02:42:00,London,1724,83.44039749257101,Medium,28,19.10170936159171,0.06734694204697395,Clear,2024,1,2,2,Tuesday,False,0
28,2024-01-02 03:51:00,London,599,94.4547537804986,Low,29,9.759255083128565,0.6740431643636517,Rain,2024,1,2,3,Tuesday,False,0
29,2024-01-02 04:33:00,London,1054,77.59462597135719,Low,30,22.809955789063885,4.26169214627116,Cloudy,2024,1,2,4,Tuesday,False,0
30,2024-01-02 05:08:00,London,2982,61.07365224414301,Medium,30,22.809955789063885,4.26169214627116,Cloudy,2024,1,2,5,Tuesday,False,0
31,2024-01-02 06:12:00,London,1563,99.90867030136559,Low,31,16.911400322675846,1.0461049358519188,Cloudy,2024,1,2,6,Tuesday,False,0
32,2024-01-02 07:15:00,London,4722,78.82898130193404,Medium,32,-4.196129046582686,0.9684625144790701,Clear,2024,1,2,7,Tuesday,False,1
33,2024-01-02 08:20:00,London,4699,93.98147558033176,High,33,14.767054080396637,1.2207105296346565,Clear,2024,1,2,8,Tuesday,False,1
34,2024-01-02 09:02:00,London,1413,15.51206529226949,Low,34,19.132223840751173,0.4035820004772797,Clear,2024,1,2,9,Tuesday,False,1
35,2024-01-02 10:54:00,London,3320,69.22081262279636,Low,36,18.50218188181576,0.9137424453264638,Cloudy,2024,1,2,10,Tuesday,False,0
36,2024-01-02 11:49:00,London,2632,76.46954635817455,Low,37,2.52792714224785,0.493321498510365,Rain,2024,1,2,11,Tuesday,False,0
37,2024-01-02 12:10:00,London,4622,82.62255680323709,Low,37,2.52792714224785,0.493321498510365,Rain,2024,1,2,12,Tuesday,False,0
38,2024-01-02 13:08:00,London,769,79.69812812794302,Medium,38,24.146478137601175,1.1765341097431914,Cloudy,2024,1,2,13,Tuesday,False,0
39,2024-01-02 14:24:00,London,1313,92.43285688971584,Medium,39,6.163576151612574,2.4148344108071096,Rain,2024,1,2,14,Tuesday,False,0
40,2024-01-02 15:12:00,London,2566,27.08824243910233,Low,40,3.622283494339232,0.086103781413618,Cloudy,2024,1,2,15,Tuesday,False,0
41,2024-01-02 16:40:00,London,3792,81.48476776993333,Medium,42,-2.74404505852897,2.1630042180757827,Clear,2024,1,2,16,Tuesday,False,1
42,2024-01-02 17:55:00,London,3580,46.257168834715856,High,43,4.072877544157517,0.14379035042951507,Cloudy,2024,1,2,17,Tuesday,False,1
43,2024-01-02 18:25:00,London,1599,13.339605977610862,High,43,4.072877544157517,0.14379035042951507,Cloudy,2024,1,2,18,Tuesday,False,1
44,2024-01-02 19:07:00,London,3544,55.598689567983975,Low,44,8.431517789924596,1.9109247979632287,Rain,2024,1,2,19,Tuesday,False,1
45,2024-01-02 20:41:00,London,917,46.84870155015853,Medium,46,24.069530663373847,0.6465396672970781,Cloudy,2024,1,2,20,Tuesday,False,0
46,2024-01-02 21:07:00,London,1218,16.069229392478544,High,46,24.069530663373847,0.6465396672970781,Cloudy,2024,1,2,21,Tuesday,False,0
47,2024-01-02 22:37:00,London,2073,21.050769244902767,Low,48,16.399574562015253,5.187018925977862,Rain,2024,1,2,22,Tuesday,False,0
48,2024-01-02 23:56:00,London,593,14.511813835478154,Medium,49,29.142137369994195,5.842265281471837,Cloudy,2024,1,2,23,Tuesday,False,0
49,2024-01-03 00:15:00,London,3387,67.7536272622436,Low,49,29.142137369994195,5.842265281471837,Cloudy,2024,1,3,0,Wednesday,False,0
50,2024-01-03 01:41:00,London,2132,36.16130732548072,Low,51,15.465141082714077,1.3152183703920084,Rain,2024,1,3,1,Wednesday,False,0
51,2024-01-03 02:36:00,London,1909,34.52058221797857,High,52,32.95291751210863,1.8267926565723829,Rain,2024,1,3,2,Wednesday,False,0
52,2024-01-03 03:02:00,London,392,66.75239371015479,High,52,32.95291751210863,1.8267926565723829,Rain,2024,1,3,3,Wednesday,False,0
53,2024-01-03 04:31:00,London,566,14.618128679936863,High,54,3.6155566986554355,1.6181358575178324,Cloudy,2024,1,3,4,Wednesday,False,0
54,2024-01-03 05:12:00,London,1134,29.725960909462476,High,54,3.6155566986554355,1.6181358575178324,Cloudy,2024,1,3,5,Wednesday,False,0
55,2024-01-03 06:54:00,London,3916,79.023560163216,Low,56,26.06100249489579,1.3916101065563955,Cloudy,2024,1,3,6,Wednesday,False,0
56,2024-01-03 07:05:00,London,4415,86.53647416336163,Medium,56,26.06100249489579,1.3916101065563955,Cloudy,2024,1,3,7,Wednesday,False,1
57,2024-01-03 08:13:00,London,428,81.5931257131311,Medium,57,31.176551209880003,1.114713556570299,Clear,2024,1,3,8,Wednesday,False,1
58,2024-01-03 09:57:00,London,2791,58.24188001532584,Low,59,21.061865441092046,0.42989498547014093,Cloudy,2024,1,3,9,Wednesday,False,1
59,2024-01-03 10:48:00,London,893,81.8910703036689,Low,60,6.083744073535243,2.092271065441966,Clear,2024,1,3,10,Wednesday,False,0
60,2024-01-03 11:30:00,London,3833,86.83154335294189,High,61,3.059744072557198,0.5444329884812947,Clear,2024,1,3,11,Wednesday,False,0
61,2024-01-03 12:50:00,London,1215,85.2252435883487,Low,62,24.187251809474127,0.0709021512216893,Clear,2024,1,3,12,Wednesday,False,0
62,2024-01-03 13:13:00,London,4837,33.297603417175424,Low,62,24.187251809474127,0.0709021512216893,Clear,2024,1,3,13,Wednesday,False,0
63,2024-01-03 14:37:00,London,3214,80.12902387005664,Low,64,18.01112991939602,0.16561870932922276,Rain,2024,1,3,14,Wednesday,False,0
64,2024-01-03 15:29:00,London,1907,88.53610443985364,Low,64,18.01112991939602,0.16561870932922276,Rain,2024,1,3,15,Wednesday,False,0
65,2024-01-03 16:34:00,London,4410,72.32128564290417,High,66,4.561879685875683,0.8047979803716687,Rain,2024,1,3,16,Wednesday,False,1
66,2024-01-03 17:08:00,London,4023,59.381015512864295,High,66,4.561879685875683,0.8047979803716687,Rain,2024,1,3,17,Wednesday,False,1
67,2024-01-03 18:10:00,London,1081,29.369281755196745,Medium,67,23.639800362245694,0.525483941890495,Clear,2024,1,3,18,Wednesday,False,1
68,2024-01-03 19:16:00,London,3595,48.67755598545838,Medium,68,9.286135891865609,0.1835381124155909,Cloudy,2024,1,3,19,Wednesday,False,1
69,2024-01-03 20:57:00,London,1990,53.186418227439155,Low,70,19.71194659856645,0.6240653224363281,Clear,2024,1,3,20,Wednesday,False,0
70,2024-01-03 21:06:00,London,3314,13.152873569911833,Medium,70,19.71194659856645,0.6240653224363281,Clear,2024,1,3,21,Wednesday,False,0
